Model,Test Accuracy,Macro Precision,Macro Recall,Macro F1-Score
Simple CNN (Model 1),1.0,1.0,1.0,1.0
MobileNetV2 (Model 2),0.9774859547615051,0.9849794972365841,0.9726027397260274,0.9772975490248995
